,,,,,,,,,,,,,,,,,,,,,,,,,
,NGÂN SÁCH: THEO DÕI CAPEX,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1. YÊU CẦU VỐN BAN ĐẦU,,,,,,,,,,,,,,,,,,,,,,,,
,Hạng mục,Thấp (Tr VNĐ),Cao (Tr VNĐ),Trung bình (Tr VNĐ),Thực tế (Tr VNĐ),,,,,,,,,,,,,,,,,,,,
,"CAPEX ban đầu (thi công, thiết bị)",514,514,514,210,,,,,,,,,,,,,,,,,,,,
,Vốn lưu động (dự phòng riêng),150,180,165,,,,,,,,,,,,,,,,,,,,,
,TỔNG VỐN YÊU CẦU,664,694,679,210,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1.1 THI CÔNG THÔ,"110,000,000",,,,,,,,,,,,,,,,,,,,,,,
,1.2 ĐẶT CỌC THUÊ NHÀ,"100,000,000",,,,,,,,,,,,,,,,,,,,,,,
,1.3. DANH SÁCH CHI TIẾT MUA SẮM & THIẾT BỊ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
STT,Nhóm,Tên vật dụng,Số lượng,Đơn giá dự kiến,Thành tiền,Thành tiền thực tế,Trạng thái,Ghi chú,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,STT,Nhóm,Tên vật dụng,Số lượng,Đơn giá dự kiến,,Thành tiền,Trạng thái,Ghi chú,STT,Nhóm,Tên vật dụng,Số lượng,Đơn giá dự kiến,Thành tiền,Trạng thái,Ghi chú,STT,Nhóm,Tên vật dụng,Số lượng,Đơn giá dự kiến,Thành tiền,Trạng thái,Ghi chú
